STN_NAME,STN_NO,Latitude,Longitude
EUNOS MRT STATION,EW7,1.319778952,103.9032525
CHINESE GARDEN MRT STATION,EW25,1.342352821,103.7325967
KHATIB MRT STATION,NS14,1.41738337,103.8329799
KRANJI MRT STATION,NS7,1.425177699,103.7621654
REDHILL MRT STATION,EW18,1.289562726,103.8168167
YEW TEE MRT STATION,NS5,1.397535018,103.7474051
PIONEER MRT STATION,EW28,1.337586882,103.6973215
COMMONWEALTH MRT STATION,EW20,1.302438735,103.7983045
PAYA LEBAR MRT STATION,EW8/CC9,1.318112082,103.8930604
SIMEI MRT STATION,EW3,1.343202895,103.9533717
TAMPINES MRT STATION,EW2/DT32,1.353301356,103.9451487
ADMIRALTY MRT STATION,NS10,1.440585001,103.800988
YISHUN MRT STATION,NS13,1.429443081,103.835005
PASIR RIS MRT STATION,EW1,1.372983774,103.9492681
CLEMENTI MRT STATION,EW23,1.314954492,103.7652989
ALJUNIED MRT STATION,EW9,1.316432612,103.882906
ANG MO KIO MRT STATION,NS16,1.369347304,103.849933
EXPO MRT STATION,CG1/DT35,1.334549778,103.9615482
CHOA CHU KANG MRT STATION,NS4,1.385361693,103.7443409
JURONG EAST MRT STATION,EW24/NS1,1.33315262,103.7422865
QUEENSTOWN MRT STATION,EW19,1.294860933,103.8058843
TUAS LINK MRT STATION,EW33,1.340463766,103.6368787
GUL CIRCLE MRT STATION,EW30,1.319505215,103.660553
WOODLANDS MRT STATION,NS9/TE2,1.436875128,103.7864851
TUAS CRESCENT MRT STATION,EW31,1.321026553,103.6490755
KALLANG MRT STATION,EW10,1.31148891,103.8713865
TUAS WEST ROAD MRT STATION,EW32,1.329989089,103.6396141
BUONA VISTA MRT STATION,EW21/CC22,1.307183467,103.7901915
DOVER MRT STATION,EW22,1.311405293,103.7786378
SEMBAWANG MRT STATION,NS11,1.449050821,103.8200461
KEMBANGAN MRT STATION,EW6,1.321038249,103.9129494
BUKIT BATOK MRT STATION,NS2,1.349034109,103.7495668
BOON LAY MRT STATION,EW27,1.338604055,103.7060646
BUKIT GOMBAK MRT STATION,NS3,1.358761857,103.7518935
MARSILING MRT STATION,NS8,1.432514421,103.7740715
BEDOK MRT STATION,EW5,1.323979969,103.9299845
JOO KOON MRT STATION,EW29,1.327717173,103.6783751
LAKESIDE MRT STATION,EW26,1.344259249,103.7209493
TANAH MERAH MRT STATION,EW4,1.327187135,103.9463465
YIO CHU KANG MRT STATION,NS15,1.381756046,103.8449473
OASIS LRT STATION,PE6,1.402286677,103.9127274
SAM KEE LRT STATION,PW1,1.409612685,103.9048316
FARMWAY LRT STATION,SW2,1.397170196,103.8893048
KUPANG LRT STATION,SW3,1.398212828,103.8812562
RENJONG LRT STATION,SW8,1.386723922,103.8905394
BUKIT PANJANG LRT STATION,BP6,1.377909898,103.7630136
FAJAR LRT STATION,BP10,1.384520796,103.7708086
PUNGGOL LRT STATION,PTC,1.405194701,103.9024119
SAMUDERA LRT STATION,PW4,1.415901719,103.9021563
NIBONG LRT STATION,PW5,1.411870458,103.9003138
SOO TECK LRT STATION,PW7,1.405088585,103.8972097
KADALOOR LRT STATION,PE5,1.399584853,103.9164867
CORAL EDGE LRT STATION,PE3,1.393909226,103.9125809
THANGGAM LRT STATION,SW4,1.397318155,103.8756352
KEAT HONG LRT STATION,BP3,1.378602766,103.7490555
DAMAI LRT STATION,PE7,1.405234836,103.9086035
COVE LRT STATION,PE1,1.399281985,103.9059619
RIVIERA LRT STATION,PE4,1.394524496,103.9161661
SENJA LRT STATION,BP13,1.382692296,103.7623672
JELAPANG LRT STATION,BP12,1.386703025,103.7645033
PETIR LRT STATION,BP7,1.377750334,103.766669
TECK WHYE LRT STATION,BP4,1.376684679,103.7537122
CHOA CHU KANG LRT STATION,BP1,1.38483636,103.7445537
SOUTH VIEW LRT STATION,BP2,1.380298287,103.7452918
LAYAR LRT STATION,SW6,1.392079839,103.8800296
KANGKAR LRT STATION,SE4,1.383978902,103.902174
MERIDIAN LRT STATION,PE2,1.396912053,103.9089502
CHENG LIM LRT STATION,SW1,1.396277631,103.8937972
PUNGGOL POINT LRT STATION,PW3,1.41684852,103.9066508
SUMANG LRT STATION,PW6,1.408452426,103.8985585
FERNVALE LRT STATION,SW5,1.391885888,103.8763086
TONGKANG LRT STATION,SW7,1.389347953,103.8858441
PENDING LRT STATION,BP8,1.376142883,103.7712702
TECK LEE LRT STATION,PW2,1.412770894,103.9065776
BANGKIT LRT STATION,BP9,1.380017897,103.7726491
BAKAU LRT STATION,SE3,1.388092704,103.9054391
RUMBIA LRT STATION,SE2,1.391468497,103.9059736
COMPASSVALE LRT STATION,SE1,1.394493046,103.9004925
RANGGUNG LRT STATION,SE5,1.383885442,103.8975372
PHOENIX LRT STATION,BP5,1.378618844,103.7580341
SEGAR LRT STATION,BP11,1.387772131,103.7695984
SENGKANG LRT STATION,STC,1.391609364,103.8954426
BRAS BASAH MRT STATION,CC2,1.296861687,103.8506674
MACPHERSON MRT STATION,CC10/DT26,1.326345372,103.890287
CITY HALL MRT STATION,EW13/NS25,1.292936243,103.8525859
TAMPINES EAST MRT STATION,DT33,1.356191483,103.9546345
TAMPINES WEST MRT STATION,DT31,1.345515305,103.938437
GEYLANG BAHRU MRT STATION,DT24,1.321505838,103.8719006
BENDEMEER MRT STATION,DT23,1.313672233,103.862978
BENCOOLEN MRT STATION,DT21,1.29886427,103.8503843
HARBOURFRONT MRT STATION,NE1/CC29,1.26547264,103.8214431
KENT RIDGE MRT STATION,CC24,1.293496062,103.7844275
PUNGGOL MRT STATION,NE17,1.404546728,103.9020726
TANJONG PAGAR MRT STATION,EW15,1.276521247,103.8458642
ONE-NORTH MRT STATION,CC23,1.299759879,103.7874575
STADIUM MRT STATION,CC6,1.30284063,103.8753503
BUGIS MRT STATION,EW12/DT14,1.300465076,103.8557064
SOMERSET MRT STATION,NS23,1.300260055,103.8390752
ORCHARD MRT STATION,NS22/TE14,1.303981012,103.8322415
JALAN BESAR MRT STATION,DT22,1.305403642,103.855477
BAYFRONT MRT STATION,DT16/CE1,1.281873788,103.8590798
SENGKANG MRT STATION,NE16,1.391694626,103.8954847
BUKIT BROWN MRT STATION,CC18,1.333728882,103.8306896
MOUNTBATTEN MRT STATION,CC7,1.306201905,103.8825281
KOVAN MRT STATION,NE13,1.360179171,103.8850649
FORT CANNING MRT STATION,DT20,1.292478928,103.8443283
FARRER ROAD MRT STATION,CC20,1.317510612,103.8075861
DOWNTOWN MRT STATION,DT17,1.27944619,103.8528404
ESPLANADE MRT STATION,CC3,1.293321608,103.8555041
NICOLL HIGHWAY MRT STATION,CC5,1.299766835,103.863637
CALDECOTT MRT STATION,CC17/TE9,1.337674508,103.8395298
MARINA BAY MRT STATION,NS27/TE20/CE2,1.276427355,103.8545978
LABRADOR PARK MRT STATION,CC27,1.272332732,103.8029396
CHINATOWN MRT STATION,NE4/DT19,1.284359578,103.8434268
TAN KAH KEE MRT STATION,DT8,1.325883209,103.8073222
TIONG BAHRU MRT STATION,EW17,1.286193393,103.8270194
HILLVIEW MRT STATION,DT3,1.362344869,103.7674183
KING ALBERT PARK MRT STATION,DT6,1.335665121,103.7838067
MATTAR MRT STATION,DT25,1.326876715,103.8832475
UBI MRT STATION,DT27,1.329956826,103.8992525
BEAUTY WORLD MRT STATION,DT5,1.341223176,103.7757943
KAKI BUKIT MRT STATION,DT28,1.334967302,103.9084597
BEDOK NORTH MRT STATION,DT29,1.334742117,103.9179783
DHOBY GHAUT MRT STATION,NS24/NE6/CC1,1.298701307,103.8461152
WOODLEIGH MRT STATION,NE11,1.339190046,103.8708183
NOVENA MRT STATION,NS20,1.320440791,103.8438256
SERANGOON MRT STATION,NE12/CC13,1.349707875,103.8735748
BEDOK RESERVOIR MRT STATION,DT30,1.33660783,103.9322346
MARINA SOUTH PIER MRT STATION,NS28,1.271336711,103.8628598
FARRER PARK MRT STATION,NE8,1.31235984,103.8541771
BARTLEY MRT STATION,CC12,1.342828338,103.8797589
DAKOTA MRT STATION,CC8,1.308382639,103.8886626
PASIR PANJANG MRT STATION,CC26,1.276213523,103.7913503
CLARKE QUAY MRT STATION,NE5,1.288386024,103.8465552
BISHAN MRT STATION,NS17/CC15,1.350838988,103.848144
MARYMOUNT MRT STATION,CC16,1.348707263,103.8394231
HAW PAR VILLA MRT STATION,CC25,1.282542157,103.7818105
LORONG CHUAN MRT STATION,CC14,1.351612171,103.8641519
LAVENDER MRT STATION,EW11,1.30735702,103.8628292
TAI SENG MRT STATION,CC11,1.335433322,103.8881949
ROCHOR MRT STATION,DT13,1.303916484,103.8524217
LITTLE INDIA MRT STATION,NE7/DT12,1.306800025,103.849647
STEVENS MRT STATION,DT10/TE11,1.320065557,103.8260244
BUKIT PANJANG MRT STATION,DT1,1.379002117,103.7615351
CASHEW MRT STATION,DT2,1.369369831,103.7646944
SIXTH AVENUE MRT STATION,DT7,1.330786387,103.7972463
TOA PAYOH MRT STATION,NS19,1.332628987,103.8475018
WOODLANDS SOUTH MRT STATION,TE3,1.427259979,103.7938509
POTONG PASIR MRT STATION,NE10,1.331379525,103.8690557
HOUGANG MRT STATION,NE14,1.371292292,103.8923805
BOON KENG MRT STATION,NE9,1.319395706,103.8616865
UPPER CHANGI MRT STATION,DT34,1.341737484,103.9614718
CHANGI AIRPORT MRT STATION,CG2,1.357314545,103.9883647
BRADDELL MRT STATION,NS18,1.340471684,103.8467978
BUANGKOK MRT STATION,NE15,1.382877858,103.8931216
PROMENADE MRT STATION,CC4/DT15,1.293218051,103.8609992
BOTANIC GARDENS MRT STATION,CC19/DT9,1.322110193,103.8149828
RAFFLES PLACE MRT STATION,EW14/NS26,1.284125611,103.8514617
HOLLAND VILLAGE MRT STATION,CC21,1.31183479,103.7961918
OUTRAM PARK MRT STATION,EW16,1.281404978,103.8391265
TELOK BLANGAH MRT STATION,CC28,1.270753211,103.8097486
TELOK AYER MRT STATION,DT18,1.282289536,103.8483028
NEWTON MRT STATION,NS21/DT11,1.3123201,103.8379853
CANBERRA MRT STATION,NS12,1.4431367,103.8297118
WOODLANDS NORTH MRT STATION,TE1,1.4482925,103.7856927
HUME MRT STATION,DT4,1.354517608,103.7690992
SPRINGLEAF MRT STATION,TE4,1.398160861,103.8180818
LENTOR MRT STATION,TE5,1.385061947,103.8364695
MAYFLOWER MRT STATION,TE6,1.372086639,103.8368239
BRIGHT HILL MRT STATION,TE7,1.363308098,103.832936
UPPER THOMSON MRT STATION,TE8,1.354411853,103.8329382
SOUTH VIEW LRT STATION,BP2,1.380299,103.745286
KEAT HONG LRT STATION,BP3,1.378604,103.749058
Teck Whye LRT STATION,BP4,1.376738,103.753665
PHOENIX LRT STATION,BP5,1.378798,103.758021
SENJA LRT STATION,BP13,1.382852,103.762312
JELAPANG LRT STATION,BP12,1.386703,103.764547
Segar LRT STATION,BP11,1.387713,103.769599
Fajar LRT STATION,BP10,1.384502,103.770862
Bangkit LRT STATION,BP9,1.380281,103.772576
Pending LRT STATION,BP8,1.376223,103.771277
Petir LRT STATION,BP7,1.377828,103.76655
Compassvale LRT STATION,SE1,1.394615,103.900443
RUMBIA LRT STATION,SE2,1.391553,103.905947
Bakau LRT STATION,SE3,1.38804,103.905412
Kangkar LRT STATION,SE4,1.383957,103.90216
RANGGUNG LRT STATION,SE5,1.384116,103.897386
Cheng Lim LRT STATION,SW1,1.396332,103.89379
Farmway LRT STATION,SW2,1.397178,103.889168
Kupang LRT STATION,SW3,1.398271,103.881283
Thanggam LRT STATION,SW4,1.397378,103.87561
Fernvale LRT STATION,SW5,1.392033,103.876256
Layar LRT STATION,SW6,1.392141,103.880022
Tongkang LRT STATION,SW7,1.389519,103.885829
Renjong LRT STATION,SW8,1.386827,103.890541
Cove LRT STATION,PE1,1.399534,103.905792
Meridian LRT STATION,PE2,1.397002,103.908884
Coral Edge LRT STATION,PE3,1.39392,103.912633
Riviera LRT STATION,PE4,1.39454,103.916056
Kadaloor LRT STATION,PE5,1.399633,103.916536
Oasis LRT STATION,PE6,1.402304,103.912736
DAMAI LRT STATION,PE7,1.405293,103.908606
Sam Kee LRT STATION,PW1,1.409808,103.90492
Teck Lee LRT STATION,PW2,1.412783,103.906565
Punggol Point LRT STATION,PW3,1.416932,103.90668
Samudera LRT STATION,PW4,1.415955,103.902185
Nibong LRT STATION,PW5,1.411865,103.900321
Sumang LRT STATION,PW6,1.408501,103.898605
Soo Teck LRT STATION,PW7,1.405436,103.897287
